function_name,arguments,return_type,security
get_markets_within_radius,"user_lat numeric, user_lng numeric, radius_meters numeric, vertical_filter text DEFAULT NULL::text, market_type_filter text DEFAULT NULL::text","TABLE(id uuid, name text, description text, address text, city text, state text, zip_code text, latitude numeric, longitude numeric, market_type text, vertical_id text, status text, active boolean, created_at timestamp with time zone, updated_at timestamp with time zone, distance_miles numeric)",SECURITY DEFINER
get_nearby_zip_codes,"user_lat numeric, user_lng numeric, limit_count integer DEFAULT 5","TABLE(zip character varying, city character varying, state character varying, distance_miles numeric)",SECURITY DEFINER
get_next_market_datetime,"p_day_of_week integer, p_start_time time without time zone, p_timezone text DEFAULT 'America/Chicago'::text",timestamp with time zone,SECURITY INVOKER
get_or_create_cart,"p_user_id uuid, p_vertical_id text",uuid,SECURITY DEFINER
get_proj4_from_srid,integer,text,SECURITY INVOKER
get_region_zip_codes,region character varying,"TABLE(zip character varying, city character varying, state character varying, latitude numeric, longitude numeric)",SECURITY DEFINER
get_schedule_active_order_count,p_schedule_id uuid,integer,SECURITY DEFINER
get_user_admin_verticals,,"TABLE(vertical_id text, is_platform_admin boolean, is_vertical_admin boolean)",SECURITY DEFINER
get_user_vendor_ids,,SETOF uuid,SECURITY DEFINER
get_vendor_fields,v_id text,jsonb,SECURITY DEFINER
get_vendor_fixed_market_count,"p_vendor_profile_id uuid, p_vertical_id text",integer,SECURITY DEFINER
get_vendor_fixed_market_limit,p_vendor_profile_id uuid,integer,SECURITY DEFINER
get_vendor_listing_count_at_market,"p_vendor_profile_id uuid, p_market_id uuid",integer,SECURITY DEFINER
get_vendor_next_pickup_date,"p_vendor_profile_id uuid, p_market_id uuid, p_from_date date DEFAULT CURRENT_DATE",date,SECURITY DEFINER
get_vendor_order_ids,,SETOF uuid,SECURITY DEFINER
get_vendors_within_radius,"user_lat numeric, user_lng numeric, radius_meters numeric, vertical_filter text DEFAULT NULL::text","TABLE(id uuid, user_id uuid, business_name text, description text, address text, city text, state text, zip_code text, latitude numeric, longitude numeric, vertical_id text, status text, tier text, created_at timestamp with time zone, distance_miles numeric)",SECURITY DEFINER
get_vertical_config,v_id text,jsonb,SECURITY DEFINER
get_zip_coordinates,zip_code character varying,"TABLE(latitude numeric, longitude numeric, city character varying, state character varying)",SECURITY DEFINER
gettransactionid,,xid,SECURITY INVOKER
gidx_in,cstring,gidx,SECURITY INVOKER
